Tamaño de matriz,Tiempo de ejecución (ms),Suma total
866,11.4925,3373809
867,12.5471,3385442
868,11.9786,3391502
869,12.2775,3394301
870,11.078,3405925
871,13.0597,3416101
872,12.0877,3418123
873,11.5663,3431600
874,11.1573,3440862
875,11.6677,3442309
876,11.5007,3452063
877,12.206,3462308
878,13.271,3467511
879,11.2004,3477671
880,12.117,3484289
881,11.1499,3492289
882,10.6881,3499274
883,11.0229,3507514
884,11.3692,3515233
885,11.5022,3523379
886,10.7703,3533643
887,12.2859,3540410
888,11.1091,3553311
889,11.4712,3556553
890,10.7306,3564367
891,10.8778,3573337
892,11.4848,3581318
893,25.941,3588415
894,11.2774,3595097
895,26.5285,3604796
896,25.8051,3613460
897,25.6867,3622093
898,27.4442,3631989
899,25.7704,3637112
900,26.3136,3641177
901,26.1757,3654453
902,25.7751,3662425
903,25.5285,3673520
904,25.7782,3675490
905,24.7636,3682827
906,25.3544,3692731
907,26.5794,3705964
908,26.327,3710245
909,25.4985,3720935
910,25.8025,3729350
911,11.3034,3733005
912,24.1333,3743442
913,24.4431,3747524
914,11.0935,3757263
915,9.1189,3768336
916,9.8334,3773707
917,9.9803,3783249
918,10.2018,3796006
919,10.1827,3802963
920,10.0031,3804265
921,10.1666,3812336
922,9.4481,3825265
923,10.3876,3834711
924,9.6353,3849430
925,9.5236,3851495
926,9.2335,3861783
927,10.2693,3865919
928,9.2391,3879500
929,8.8415,3890399
930,9.7762,3889927
931,8.3404,3897576
932,9.8342,3910993
933,7.358,3917885
934,10.3039,3929084
935,8.5022,3933492
936,9.2689,3939743
937,9.6924,3953883
938,9.0005,3962111
939,9.1892,3963549
940,8.0336,3976251
941,8.9594,3982121
942,8.1837,3998461
943,8.4149,3999263
944,8.4971,4010888
945,9.1329,4017318
946,8.2814,4022900
947,23.5638,4034760
948,23.7374,4040700
949,25.462,4051784
950,23.9611,4060466
951,24.1463,4070990
952,24.0989,4085710
953,24.3661,4087456
954,23.3598,4096273
955,23.9278,4103225
956,23.7334,4114378
957,23.8142,4120038
958,24.9544,4128436
959,23.2658,4137551
960,22.5759,4147713
961,22.5358,4154974
962,23.0042,4164543
963,22.9444,4171223
964,23.6192,4177856
965,22.9754,4193696
966,23.6284,4200294
967,23.2215,4212897
968,7.7122,4210679
969,24.383,4221768
970,22.7306,4233157
971,21.8694,4243507
972,7.6795,4244166
973,6.3901,4257780
974,7.7381,4272108
975,7.3523,4280511
976,7.8493,4285279
977,7.049,4299071
978,7.2545,4306133
979,6.4161,4311244
980,7.1382,4324516
981,6.719,4330653
982,8.2041,4340795
983,6.4031,4344268
984,6.3335,4358893
985,6.8012,4368168
986,6.0265,4373349
987,6.5409,4380099
988,5.9378,4392195
989,7.2779,4403061
990,6.8362,4408524
991,5.925,4414449
992,5.9472,4426435
993,5.6783,4438832
994,21.1681,4446890
995,21.3498,4456176
996,20.9312,4457784
997,22.4959,4474602
998,21.6975,4481795
999,21.3649,4487975
1000,21.3706,4499469
1001,22.9559,4513264
1002,21.797,4520578
1003,22.188,4527993
1004,22.1849,4536923
1005,23.1549,4539996
1006,21.2014,4554043
1007,20.9527,4560100
1008,21.0952,4566882
1009,21.7957,4584902
1010,20.8039,4589537
1011,20.9177,4602454
1012,21.7754,4610456
1013,22.0791,4615644
1014,20.7996,4622383
1015,22.5307,4636370
1016,21.3412,4643473
1017,20.9706,4649029
1018,21.754,4663248
1019,20.8354,4672925
1020,20.544,4685037
1021,19.814,4695179
1022,19.506,4703548
1023,22.1832,4705165
1024,20.0802,4717489
1025,21.6782,4731189
1026,21.2617,4732840
1027,19.6182,4741080
1028,20.8226,4760190
1029,19.8255,4761676
1030,19.7267,4773216
1031,20.6957,4784694
1032,19.5041,4786437
1033,19.6792,4804668
1034,20.9433,4810624
1035,19.6856,4821208
1036,3.5786,4827170
1037,5.1478,4839835
1038,4.4181,4849377
1039,18.9339,4862348
1040,2.8611,4863871
1041,3.5804,4875372
1042,4.854,4885896
1043,2.8912,4895229
1044,3.5624,4904535
1045,19.0574,4916882
1046,18.811,4925059
1047,19.8189,4934426
1048,18.8052,4946277
1049,19.4494,4951328
1050,19.1638,4964113
1051,20.3038,4966968
1052,17.4839,4979868
1053,19.9605,4998659
1054,19.4853,4997101
1055,18.005,5009025
1056,18.8983,5013073
1057,17.6115,5024871
1058,18.5087,5034357
1059,17.9863,5048183
1060,19.175,5060034
1061,18.1767,5066454
1062,20.0193,5075830
1063,18.3777,5085662
1064,19.0917,5094992
1065,19.392,5103869
1066,19.7198,5113952
1067,18.2866,5125539
1068,18.6665,5135992
1069,18.5575,5146366
1070,18.3463,5150224
1071,19.0111,5159348
1072,17.1206,5177485
1073,16.9629,5175213
1074,18.7833,5188993
1075,18.1429,5198643
1076,16.2323,5213539
1077,17.1397,5219417
1078,3.0625,5228633
1079,17.5428,5240343
1080,16.8196,5250371
1081,2.8513,5260397
1082,17.5124,5268297
1083,16.9276,5272912
1084,18.8639,5290166
1085,31.1601,5294051
1086,17.6015,5308643
1087,18.6015,5319482
1088,17.547,5329532
1089,15.7375,5336844
1090,18.4915,5341571
1091,15.9049,5358610
1092,16.6892,5365604
1093,18.9289,5372512
1094,15.9529,5384940
1095,15.8673,5395307
1096,15.8639,5406930
1097,15.3694,5411359
1098,18.6531,5421826
1099,16.0406,5435934
1100,17.8164,5446565
1101,17.1549,5459407
1102,14.2999,5461610
1103,16.1621,5476976
1104,16.6606,5485183
1105,15.9394,5494344
1106,14.7819,5495929
1107,17.0726,5515982
1108,15.9761,5517357
1109,15.7444,5533246
1110,15.8422,5544103
1111,16.8486,5555837
1112,15.4605,5563837
1113,15.1207,5572709
1114,16.8886,5584843
1115,18.8973,5589022
1116,14.404,5603667
1117,14.9647,5619151
1118,17.1112,5625378
1119,14.6437,5632887
1120,15.9697,5644603
1121,13.6112,5656154
1122,16.6198,5666027
1123,14.4733,5670516
1124,14.8175,5687232
1125,16.8175,5699485
1126,16.4411,5700403
1127,14.1249,5719479
1128,28.5274,5723872
1129,16.3279,5739169
1130,28.8089,5749520
1131,13.9662,5759570
1132,14.3142,5769304
1133,16.6717,5771428
1134,13.254,5788224
1135,16.2723,5803044
1136,13.9458,5807493
1137,16.422,5822708
1138,12.9109,5831548
1139,16.616,5837651
1140,14.928,5845741
1141,15.8729,5862103
1142,14.8492,5870104
1143,15.2031,5883799
1144,13.9941,5887278
1145,14.5191,5902279
1146,13.5154,5914196
1147,14.1924,5918033
1148,12.6575,5932168
1149,14.9595,5939603
1150,14.4422,5949891
1151,14.4294,5962252
1152,14.1132,5970989
1153,13.8996,5981688
1154,13.3961,5987001
1155,12.9694,6000746
1156,12.656,6013378
1157,14.7057,6022596
1158,14.0658,6034946
1159,14.188,6042669
1160,13.5728,6053202
1161,12.026,6060060
1162,14.6494,6076354
1163,13.4611,6085700
1164,13.905,6098420
1165,12.1276,6111258
1166,14.691,6121219
1167,12.7186,6131574
1168,14.4044,6138676
1169,14.763,6148883
1170,14.9448,6156263
1171,11.3795,6167672
1172,11.5113,6177869
1173,28.9041,6187121
1174,29.0358,6202915
1175,27.9159,6209417
1176,27.2091,6224568
1177,12.8604,6234822
1178,28.3349,6249290
1179,13.1238,6258585
1180,12.0446,6264839
1181,13.6853,6273601
1182,26.7811,6288780
1183,12.8635,6295470
1184,26.3937,6304471
1185,12.8111,6318008
1186,10.7558,6326432
1187,14.3671,6339227
1188,11.4747,6347206
1189,12.173,6358750
1190,12.3667,6366723
1191,13.5279,6378716
1192,13.1051,6391358
1193,10.5928,6399442
1194,12.858,6414989
1195,11.7566,6428946
1196,12.2176,6440532
1197,10.6707,6443591
1198,12.3358,6457946
1199,11.2883,6460809
1200,11.9637,6475087
1201,11.4317,6496794
1202,12.0153,6502201
1203,10.377,6515086
1204,10.2439,6520901
1205,11.6281,6536020
1206,12.9919,6547684
1207,9.8429,6563376
1208,9.0533,6570845
1209,11.7772,6574134
1210,11.2334,6592360
1211,11.1257,6602808
1212,9.79,6607591
1213,11.5425,6625927
1214,9.9309,6632417
1215,10.1712,6634961
1216,9.4481,6657493
1217,11.3002,6658429
1218,24.2232,6673871
1219,23.9623,6690328
1220,26.0355,6695915
1221,25.1465,6700501
1222,26.5285,6718733
1223,26.3448,6731271
1224,26.575,6736729
1225,25.5301,6749652
1226,26.4419,6765920
1227,25.1391,6770375
1228,23.4325,6789500
1229,26.7681,6794974
1230,23.6479,6808724
1231,26.7995,6818400
1232,24.2988,6831518
1233,24.5844,6843383
1234,21.9635,6854823
1235,24.2299,6864329
1236,26.2018,6871795
1237,23.243,6880522
1238,8.9885,6905745
1239,9.8349,6915025
1240,10.4956,6914150
1241,8.5035,6932852
1242,10.5079,6938943
1243,21.9877,6950657
1244,7.9006,6962817
1245,8.6498,6965408
1246,8.4518,6990483
1247,9.8338,6990004
1248,6.3677,7004574
1249,6.3749,7020492
1250,7.3417,7037450
1251,8.9473,7043478
1252,8.2879,7051324
1253,7.8866,7067504
1254,9.0979,7072000
1255,8.8355,7092578
1256,6.7011,7102062
1257,8.7712,7108884
1258,6.8496,7117403
1259,8.6995,7133626
1260,6.509,7147962
1261,9.626,7147743
1262,6.7358,7164962
1263,8.0033,7178774
1264,24.1791,7195073
1265,23.2322,7202510
1266,24.4681,7214821
1267,22.4535,7222795
1268,19.7592,7238188
1269,23.7102,7249632
1270,21.2189,7259917
1271,22.7588,7271380
1272,22.6518,7275666
1273,22.7227,7289683
1274,21.8928,7303295
1275,24.3655,7315034
1276,24.0331,7323091
1277,22.2053,7341183
1278,22.2099,7347796
1279,23.7529,7358884
1280,20.4184,7370680
1281,23.0751,7395978
1282,23.5293,7398459
1283,21.2783,7409100
1284,20.866,7417122
1285,22.0585,7427331
1286,23.4844,7438956
1287,19.4794,7442491
1288,23.5304,7460641
1289,22.202,7473928
